family,key,relL2_oracle,relL2_random,relL2_sigma_0.25,relL2_sigma_0.5,relL2_sigma_1.0,relL2_zero
sparc_1364,run47_sparc_1364,1.7972039314018116,2.7312777146832565,1.786717905544669,2.0585001521910757,2.4082012200261818,1.3749081968409982
sparc_1518,run79_sparc_1518,2.6141647537079034,3.3884435305104414,2.8592743437956365,2.745859796821147,2.9084237807835165,1.5145481873241566
sparc_1418,run15_sparc_1418,1.771106168659518,2.7984295634936487,1.91605716115236,2.0278289077003016,2.622039894089663,1.3075736533615663
sparc_1306,run24_sparc_1306,1.811276836597293,2.227866681174626,1.8026561134304468,1.9893148795983937,2.2398604701838103,1.2358189362610092
sparc_1430,run95_sparc_1430,1.1027603233691456,1.5602630846875782,1.1065671597528226,1.132788590571696,1.2750749295824213,1.0849553539174497
sparc_1593,run96_sparc_1593,1.168796013921823,1.5883323494785042,1.1520528755059531,1.221835741454197,1.4803862495791003,1.1201925380011422
sparc_1319,run2_sparc_1319,2.486119468738797,3.5373941397176156,2.477347491601002,2.663450564142405,3.3926635686953825,1.5208553131207034
sparc_1506,run84_sparc_1506,1.3503160605309439,1.8513306655438424,1.343586369242178,1.466755016842615,1.5932009427984921,1.1172226446790845
sparc_1516,run2_sparc_1516,1.7402503425183216,3.0822846998407103,1.840097369440289,1.9955986839695825,2.636585103616711,1.508570697865599
sparc_1508,run3_sparc_1508,1.8742266237214407,2.6172986210502454,1.9207642638586246,2.110539028104928,2.290564687063261,1.3692162205904115
sparc_1406,run2_sparc_1406,1.1699794447249254,1.8549259594706093,1.182482975719298,1.2280762977932465,1.4494826202447482,1.0858221963770338
sparc_1414,run83_sparc_1414,2.6034456319359762,3.7582252871915443,2.5692959406880935,2.6786602732022566,2.9993096487049034,1.4996285186692355
sparc_1421,run35_sparc_1421,1.652936669399436,3.2268311417845488,1.7062603245290402,1.8943558053994256,2.0142346252413668,1.4152730705534464
sparc_1415,run50_sparc_1415,1.7706513769413124,2.37612431662961,1.8022188731776991,1.8010743249694434,2.445922884637705,1.281941423948505
sparc_1319,run41_sparc_1319,1.346253599638353,2.2680723043223736,1.4038840896410103,1.4858966665416797,1.7740476619831183,1.220518050540671
sparc_1505,run95_sparc_1505,1.2602781560615646,1.8652834722992124,1.2798574345125509,1.3041304489400671,1.5760247779441625,1.1521753679991227
sparc_1400,run70_sparc_1400,1.2488915989972547,1.5555376305643926,1.2808269934099106,1.3625408524459868,1.3081303829686146,1.1005564899863063
sparc_1426,run93_sparc_1426,1.63556020179864,2.0940149876007523,1.6715137835183,1.6163171821723088,1.9699223283796496,1.1595718960829047
sparc_1356,run94_sparc_1356,1.8184758105526442,2.6708535010867074,1.863942183736315,2.1134440131333627,2.219075942414614,1.3412709061390142
sparc_1509,run2_sparc_1509,1.9861556826370226,2.7022673458244357,2.16213315115468,1.940482744984112,2.318295406653377,1.3646475947532217
sparc_1426,run80_sparc_1426,1.0767730149608692,1.3760833224130389,1.0950957266072858,1.117316448824896,1.2913981881896466,1.0912840070649645
sparc_1511,run98_sparc_1511,1.039167916866587,1.5687137001740308,1.05457388180957,1.0834357942603887,1.3582831385692486,1.0970560599055241
sparc_1403,run37_sparc_1403,1.8291747301112857,2.1732596685327015,1.839200863737666,2.000854298454647,1.9033814877142992,1.2265050776834334
sparc_1365,run65_sparc_1365,1.7763054793107753,3.279017006011252,1.8811630624571367,1.9625618794346453,2.331711489834395,1.4474121327943366
sparc_1508,run57_sparc_1508,1.2803467996494853,1.8575515294213116,1.3138383115467258,1.31125119778169,1.591275466616145,1.1475473182375664
sparc_1305,run22_sparc_1305,1.3529408674448105,1.7384018669001342,1.314003731267281,1.3660308263528136,1.439873715408027,1.1735048599087365
sparc_1523,run5_sparc_1523,1.797294591515029,2.769693522179065,1.8968239304341723,1.9610062214532875,2.43930200957775,1.353636585576664
sparc_1518,run4_sparc_1518,1.6906829023897698,2.69058118056696,1.7465058831449745,1.8217640946050915,2.494490456625351,1.3159725595486091
sparc_1517,run68_sparc_1517,1.1750767292058304,1.49797433440587,1.1934540553911739,1.2023424585542302,1.3783020605867096,1.0330944031342009
sparc_1357,run55_sparc_1357,1.8836324943161744,2.8403139072806627,1.8420109372737803,2.3007032564455705,2.695835386746055,1.2991563831709247
sparc_1302,run67_sparc_1302,1.4308697367752603,2.2274110133496037,1.4995924637000606,1.4831187575375353,1.870917145426753,1.2723244013898891
sparc_1350,run86_sparc_1350,1.7427300606672624,2.4463326248430515,1.6300065593153088,1.8519365081240022,2.2481651281367445,1.2930880347679712
sparc_1400,run75_sparc_1400,0.9447716668951347,1.3283630432605817,0.9499031814588771,0.9661485634877436,1.1156902404101512,1.068271833663546
sparc_1520,run11_sparc_1520,1.6780472965256117,2.592198277819518,1.7536282189867718,1.8875069619968337,2.1532626632470806,1.1931810789275992
sparc_1506,run50_sparc_1506,1.7352084941712542,2.513492599589794,1.788992960076961,1.8807312449718796,2.2752947423398298,1.28225420774093
sparc_1593,run74_sparc_1593,2.8184376936107496,3.5223821002610274,2.7833030084683834,2.8252368893880373,3.040339790260039,1.5367524480041646
sparc_1407,run13_sparc_1407,1.7888287382022192,2.8240696575776796,1.854122688292001,1.890037364146465,2.323359409609005,1.2861013264897572
sparc_1350,run67_sparc_1350,1.9787656653035468,2.872211154163224,2.0225200008138002,2.228491527234587,2.415800233212017,1.3751496015931892
sparc_1519,run72_sparc_1519,1.9236125847545,3.0627457408002505,1.9281318442469082,2.44659146060999,2.784288869028494,1.4583821631329446
sparc_1524,run97_sparc_1524,2.658479206364171,3.8587905880289313,2.7439844080802294,2.9482385404084885,3.4356073631103796,1.5280177382932403
sparc_1313,run91_sparc_1313,1.2134176234196499,1.6937517314560468,1.1989764543911978,1.251700155746021,1.478315330177323,1.1438525901396852
sparc_1305,run87_sparc_1305,1.7868227594168562,2.272447032452293,1.7375775013441608,2.0759005504917805,2.235022216851159,1.2644082992430277
sparc_1503,run11_sparc_1503,1.8582225220786885,2.354410432298896,1.9641181726391999,2.0439418835009637,2.213745797938983,1.2762612593761349
sparc_1317,run37_sparc_1317,1.0493740059004526,1.2566865233923323,1.052646624646455,1.0583280199861906,1.1635639972357454,0.9978010798789626
sparc_1508,run30_sparc_1508,1.5696208554563615,2.1240323113714057,1.631660916199467,1.630985799947513,1.9831847519743868,1.2084796716780244
sparc_1419,run51_sparc_1419,2.580811437704888,5.443780841387841,2.6764540978548803,2.798399219291325,3.4530813192621883,1.9083675012719488
sparc_1319,run40_sparc_1319,1.7065028980628967,2.9942387083977553,1.7055152226663235,1.9373618793861733,2.7919829219892813,1.4141638242068553
sparc_1352,run75_sparc_1352,1.1473418391587966,1.4590277775591758,1.1795725362670815,1.1964784669273922,1.3910738402981382,1.048868508859935
sparc_1526,run21_sparc_1526,1.261376712053778,1.9535707319127715,1.2976327997223502,1.5056248526451705,1.9103842376385183,1.1514056480420756
sparc_1519,run80_sparc_1519,1.4205804616775828,2.0518144994494945,1.41844987582054,1.519972258922488,1.7359664419962435,1.1847701150638599
sparc_1440,run46_sparc_1440,1.7422574653912866,2.529378310041056,1.7366046170762648,1.7845996857023123,2.357748907186678,1.3045714540293014
sparc_1357,run4_sparc_1357,2.124438571034945,2.7682401172295887,2.174546057784439,1.9681637271544024,2.6561366436388205,1.3035623677549681
sparc_1441,run65_sparc_1441,1.1474624049641253,1.668853280464165,1.1746380221646548,1.2433900793543116,1.4815603503573018,1.1223254292452276
