key,family,relL2_spectrum_fno48_floor6_smooth1_qc,relL2_spectrum_fno48_floor6_smooth1_qc_peak4,relL2_spectrum_fno48_floor6_smooth1_qc_mhi100,relL2_alpha_spectrum_fno48_floor6_smooth1_qc,relL2_alpha_spectrum_fno48_floor6_smooth1_qc_peak4,relL2_alpha_spectrum_fno48_floor6_smooth1_qc_mhi100,patR2_spectrum_fno48_floor6_smooth1_qc,patR2_spectrum_fno48_floor6_smooth1_qc_peak4,patR2_spectrum_fno48_floor6_smooth1_qc_mhi100,crf_spectrum_fno48_floor6_smooth1_qc,crf_spectrum_fno48_floor6_smooth1_qc_peak4,crf_spectrum_fno48_floor6_smooth1_qc_mhi100,winner
run5_sparc_1350,sparc_1350,0.672983,0.772631,0.779155,0.665035,0.718317,0.726252,0.902829,0.900727,0.933783,0.602118,0.548807,0.761084,spectrum_fno48_floor6_smooth1_qc
run5_sparc_1363,sparc_1363,0.781629,0.716220,0.770099,0.731546,0.674392,0.726624,0.867995,0.875796,0.890301,0.856007,0.834209,0.678205,spectrum_fno48_floor6_smooth1_qc_peak4
run5_sparc_1365,sparc_1365,0.610854,0.654020,0.681297,0.607593,0.635025,0.674405,0.887810,0.890806,0.909774,0.328133,0.892836,0.583306,spectrum_fno48_floor6_smooth1_qc
run5_sparc_1408,sparc_1408,1.178101,1.103463,1.238746,0.837072,0.792609,0.871112,0.933281,0.923178,0.946712,0.636784,0.795275,0.814651,spectrum_fno48_floor6_smooth1_qc_peak4
run5_sparc_1411,sparc_1411,0.783932,0.851470,0.873734,0.717984,0.735992,0.767417,0.895490,0.895912,0.930861,0.620147,0.761957,0.622545,spectrum_fno48_floor6_smooth1_qc
run5_sparc_1420,sparc_1420,0.754039,0.701113,0.778133,0.723548,0.664338,0.721842,0.882421,0.887807,0.908120,0.360395,0.772273,0.761266,spectrum_fno48_floor6_smooth1_qc_peak4
run5_sparc_1500,sparc_1500,0.570568,0.520307,0.577692,0.553355,0.504435,0.569199,0.987277,0.988858,0.988794,0.924675,0.905933,0.871691,spectrum_fno48_floor6_smooth1_qc_peak4
run5_sparc_1501,sparc_1501,1.012341,1.093908,1.004129,0.762071,0.792499,0.828770,0.949628,0.953351,0.956370,0.867239,0.846715,0.588679,spectrum_fno48_floor6_smooth1_qc_mhi100
run5_sparc_1509,sparc_1509,0.995905,1.294387,1.035882,0.801858,0.830735,0.839567,0.846442,0.855178,0.902556,0.796252,0.885890,0.901211,spectrum_fno48_floor6_smooth1_qc
run5_sparc_1511,sparc_1511,0.722616,0.808977,0.861955,0.689902,0.706274,0.746249,0.883094,0.883021,0.915648,0.593166,0.663389,0.705722,spectrum_fno48_floor6_smooth1_qc
run5_sparc_1514,sparc_1514,0.738694,0.729744,0.823104,0.702819,0.712939,0.746039,0.894692,0.895242,0.925395,0.669931,0.695933,0.692538,spectrum_fno48_floor6_smooth1_qc_peak4
run5_sparc_1517,sparc_1517,0.687368,0.702111,0.774270,0.671193,0.667606,0.715195,0.889910,0.893895,0.918159,0.583545,0.736272,0.783262,spectrum_fno48_floor6_smooth1_qc
run5_sparc_1523,sparc_1523,0.940830,0.814015,1.018045,0.744783,0.704937,0.811516,0.889307,0.887326,0.911357,0.848306,0.886657,0.730837,spectrum_fno48_floor6_smooth1_qc_peak4
run5_sparc_1526,sparc_1526,1.419914,1.335761,1.592118,0.796681,0.806908,0.932490,0.936564,0.934981,0.946042,0.715018,0.641595,0.696716,spectrum_fno48_floor6_smooth1_qc_peak4
run5_sparc_1530,sparc_1530,0.849116,0.798648,0.739435,0.782812,0.722984,0.739314,0.846617,0.894951,0.871559,0.869508,0.781928,0.581470,spectrum_fno48_floor6_smooth1_qc_mhi100
run5_sparc_1593,sparc_1593,1.197897,1.012223,1.507018,0.799429,0.781686,0.945110,0.938543,0.935303,0.959646,0.757937,0.738639,0.747296,spectrum_fno48_floor6_smooth1_qc_peak4
run60_sparc_1303,sparc_1303,1.152069,1.352037,1.074824,0.816078,0.733028,0.788890,0.884890,0.889293,0.904965,0.898520,0.879772,0.845713,spectrum_fno48_floor6_smooth1_qc_mhi100
run60_sparc_1350,sparc_1350,0.596853,0.555109,0.717353,0.543671,0.511517,0.622848,0.939992,0.938929,0.960429,0.398952,0.733115,0.709401,spectrum_fno48_floor6_smooth1_qc_peak4
run60_sparc_1351,sparc_1351,0.559086,0.532443,0.697825,0.535683,0.510648,0.637921,0.926273,0.929307,0.948350,0.509095,0.809737,0.721622,spectrum_fno48_floor6_smooth1_qc_peak4
run60_sparc_1352,sparc_1352,0.609988,0.559290,0.736256,0.584418,0.529008,0.672935,0.910001,0.909230,0.934205,0.761086,0.830732,0.649647,spectrum_fno48_floor6_smooth1_qc_peak4
run60_sparc_1353,sparc_1353,0.559132,0.538890,0.651767,0.543130,0.529758,0.613801,0.911553,0.914138,0.939887,0.778179,0.773778,0.570586,spectrum_fno48_floor6_smooth1_qc_peak4
run60_sparc_1356,sparc_1356,0.641401,0.626588,0.750104,0.628858,0.581751,0.698506,0.915414,0.914241,0.914700,0.770907,0.870895,0.596680,spectrum_fno48_floor6_smooth1_qc_peak4
run60_sparc_1361,sparc_1361,0.529774,0.532790,0.656679,0.522835,0.513850,0.628298,0.904119,0.905505,0.929797,0.542534,0.847695,0.817587,spectrum_fno48_floor6_smooth1_qc
run60_sparc_1402,sparc_1402,0.702291,0.712749,0.829733,0.682620,0.694115,0.780177,0.803995,0.752541,0.807513,0.872101,0.923802,0.938215,spectrum_fno48_floor6_smooth1_qc
run60_sparc_1403,sparc_1403,1.214534,1.462940,0.898185,0.808810,0.715639,0.797850,0.894401,0.908363,0.939405,0.863022,0.835396,0.653205,spectrum_fno48_floor6_smooth1_qc_mhi100
run60_sparc_1418,sparc_1418,0.518182,0.593734,0.733047,0.497991,0.545143,0.655578,0.924968,0.927164,0.944628,0.434239,0.826611,0.725293,spectrum_fno48_floor6_smooth1_qc
run60_sparc_1421,sparc_1421,0.583310,0.568766,0.781010,0.562929,0.553202,0.692662,0.918992,0.919227,0.942592,0.760252,0.819668,0.833574,spectrum_fno48_floor6_smooth1_qc_peak4
run60_sparc_1423,sparc_1423,1.128451,1.082168,1.094298,0.853616,0.858698,0.893168,0.760641,0.737061,0.827383,0.797729,0.863307,0.893493,spectrum_fno48_floor6_smooth1_qc_peak4
run60_sparc_1428,sparc_1428,0.733496,0.674645,0.811379,0.706704,0.624833,0.737053,0.900991,0.911820,0.925737,0.881377,0.897886,0.907325,spectrum_fno48_floor6_smooth1_qc_peak4
run60_sparc_1430,sparc_1430,0.764319,0.760305,0.770091,0.764300,0.713589,0.763010,0.849388,0.864813,0.842156,0.895972,0.900331,0.811654,spectrum_fno48_floor6_smooth1_qc_peak4
run60_sparc_1440,sparc_1440,1.101523,1.088911,1.351399,0.870722,0.783797,0.894261,0.923682,0.921816,0.938554,0.437081,0.544986,0.678432,spectrum_fno48_floor6_smooth1_qc_peak4
run60_sparc_1500,sparc_1500,0.550506,0.426161,0.616188,0.470373,0.360707,0.456798,0.991817,0.992636,0.992249,0.652211,0.865354,0.760185,spectrum_fno48_floor6_smooth1_qc_peak4
run60_sparc_1503,sparc_1503,1.864899,1.979140,1.603913,0.869232,0.806747,0.905574,0.753151,0.796192,0.736567,0.849561,0.919908,0.904963,spectrum_fno48_floor6_smooth1_qc_mhi100
run60_sparc_1504,sparc_1504,0.987154,0.917242,1.477102,0.777569,0.741645,0.902185,0.868441,0.874707,0.906236,0.756465,0.618446,0.770026,spectrum_fno48_floor6_smooth1_qc_peak4
run60_sparc_1506,sparc_1506,0.949284,0.842802,1.022920,0.822137,0.717151,0.876091,0.877381,0.915976,0.925352,0.578793,0.526025,0.709661,spectrum_fno48_floor6_smooth1_qc_peak4
run60_sparc_1511,sparc_1511,0.565921,0.499173,0.626997,0.565531,0.497036,0.626835,0.941750,0.941518,0.958918,0.582107,0.481184,0.618069,spectrum_fno48_floor6_smooth1_qc_peak4
run60_sparc_1515,sparc_1515,0.526571,0.556408,0.683147,0.511093,0.533040,0.612456,0.921442,0.917919,0.948223,0.348127,0.642765,0.703587,spectrum_fno48_floor6_smooth1_qc
run60_sparc_1521,sparc_1521,0.589166,0.586865,0.812909,0.572671,0.569673,0.714619,0.918399,0.915594,0.941494,0.771694,0.759657,0.907699,spectrum_fno48_floor6_smooth1_qc_peak4
run60_sparc_1523,sparc_1523,0.724042,0.704717,0.757691,0.695904,0.654149,0.737204,0.904313,0.903423,0.922865,0.765087,0.823358,0.874862,spectrum_fno48_floor6_smooth1_qc_peak4
run61_sparc_1303,sparc_1303,0.722681,0.693470,0.850721,0.719782,0.631738,0.744151,0.950218,0.947268,0.955110,0.386966,0.682992,0.578606,spectrum_fno48_floor6_smooth1_qc_peak4
run61_sparc_1305,sparc_1305,1.008890,1.338258,0.971166,0.816866,0.780837,0.840936,0.902129,0.905588,0.895055,0.793388,0.885704,0.860269,spectrum_fno48_floor6_smooth1_qc_mhi100
run61_sparc_1309,sparc_1309,0.726789,0.786349,1.273565,0.616513,0.661455,0.963953,0.909851,0.910724,0.911119,0.596563,0.591162,0.804635,spectrum_fno48_floor6_smooth1_qc
run61_sparc_1313,sparc_1313,0.627194,0.757033,1.201942,0.589619,0.642475,0.925727,0.960901,0.954805,0.965046,0.418152,0.734670,0.468433,spectrum_fno48_floor6_smooth1_qc
run61_sparc_1315,sparc_1315,0.664736,0.794745,1.153340,0.606825,0.687260,0.921936,0.950479,0.951206,0.950116,0.306856,0.737658,0.435407,spectrum_fno48_floor6_smooth1_qc
run61_sparc_1354,sparc_1354,0.657638,0.630529,0.953997,0.655129,0.630503,0.910394,0.912137,0.934171,0.902317,0.744532,0.837384,0.790998,spectrum_fno48_floor6_smooth1_qc_peak4
run61_sparc_1355,sparc_1355,0.779615,0.870522,0.944505,0.779172,0.828949,0.901812,0.817373,0.736624,0.770756,0.534922,0.721195,0.665786,spectrum_fno48_floor6_smooth1_qc
run61_sparc_1356,sparc_1356,0.575141,0.641280,0.920375,0.573921,0.636756,0.912587,0.933686,0.941919,0.950518,0.323013,0.815822,0.707234,spectrum_fno48_floor6_smooth1_qc
run61_sparc_1406,sparc_1406,0.753625,0.764906,0.949703,0.742158,0.759846,0.840211,0.925509,0.883487,0.939145,0.502799,0.961255,0.859882,spectrum_fno48_floor6_smooth1_qc
run61_sparc_1407,sparc_1407,0.702111,0.682682,0.809870,0.701054,0.681082,0.802485,0.921793,0.922777,0.895276,0.762511,0.927369,0.900447,spectrum_fno48_floor6_smooth1_qc_peak4
run61_sparc_1411,sparc_1411,0.673359,0.589515,0.876996,0.637223,0.589391,0.876634,0.953414,0.955680,0.950657,0.405783,0.580152,0.661168,spectrum_fno48_floor6_smooth1_qc_peak4
