key,family,relL2_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,relL2_spectrum_fno48_floor6_smooth1_qc_peak4,relL2_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_geom,relL2_alpha_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,relL2_alpha_spectrum_fno48_floor6_smooth1_qc_peak4,relL2_alpha_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_geom,patR2_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,patR2_spectrum_fno48_floor6_smooth1_qc_peak4,patR2_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_geom,crf_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,crf_spectrum_fno48_floor6_smooth1_qc_peak4,crf_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_geom,winner
run37_sparc_1413,sparc_1413,0.682676,0.723843,0.699998,0.668526,0.712492,0.685595,0.939739,0.942277,0.953831,0.930134,0.824697,0.880541,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run37_sparc_1414,sparc_1414,0.665635,0.694709,0.673773,0.637564,0.677852,0.651599,0.940191,0.943947,0.939246,0.914833,0.798465,0.895287,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run37_sparc_1423,sparc_1423,0.672603,0.725462,0.680788,0.672586,0.704323,0.680202,0.907934,0.910277,0.912722,0.860007,0.805305,0.914341,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run37_sparc_1425,sparc_1425,0.661208,0.683139,0.660926,0.661208,0.681397,0.658206,0.930398,0.933438,0.938193,0.860206,0.666722,0.880289,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_geom
run37_sparc_1500,sparc_1500,0.575263,0.548628,0.524206,0.573510,0.547478,0.524100,0.959694,0.976979,0.977164,0.921399,0.862967,0.956751,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_geom
run37_sparc_1501,sparc_1501,1.040001,1.086836,0.950232,0.767688,0.846936,0.753509,0.925425,0.930974,0.934751,0.923043,0.910177,0.964044,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_geom
run37_sparc_1505,sparc_1505,0.788259,0.803351,0.785800,0.705759,0.719317,0.711785,0.922535,0.918304,0.930681,0.899562,0.837837,0.915585,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_geom
run37_sparc_1511,sparc_1511,0.689171,0.731701,0.704089,0.661033,0.711404,0.676347,0.939339,0.940451,0.956310,0.923624,0.866986,0.885037,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run37_sparc_1517,sparc_1517,0.672483,0.693219,0.687086,0.660044,0.685283,0.674527,0.931833,0.933275,0.924341,0.875918,0.808671,0.911983,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run37_sparc_1520,sparc_1520,0.680219,0.697758,0.685023,0.666895,0.693369,0.679441,0.935447,0.933124,0.935806,0.914491,0.843770,0.932748,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
