key,family,relL2_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,relL2_spectrum_fno48_floor6_smooth1_qc_peak4,relL2_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05,relL2_alpha_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,relL2_alpha_spectrum_fno48_floor6_smooth1_qc_peak4,relL2_alpha_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05,patR2_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,patR2_spectrum_fno48_floor6_smooth1_qc_peak4,patR2_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05,crf_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,crf_spectrum_fno48_floor6_smooth1_qc_peak4,crf_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05,winner
run26_sparc_1351,sparc_1351,0.528420,0.579764,0.336091,0.524412,0.576349,0.323852,0.906545,0.903941,0.771939,0.919227,0.766566,0.674404,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run26_sparc_1353,sparc_1353,0.492425,0.588059,0.324857,0.491494,0.581635,0.320161,0.898100,0.898435,0.761954,0.906787,0.890240,0.649513,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run26_sparc_1403,sparc_1403,0.705414,0.816279,0.526185,0.685507,0.706153,0.509679,0.943702,0.951405,0.919730,0.861115,0.777554,0.704376,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run26_sparc_1414,sparc_1414,0.541917,0.605580,0.331589,0.541574,0.592191,0.327100,0.919134,0.920984,0.847255,0.903890,0.647805,0.649260,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run26_sparc_1416,sparc_1416,0.552608,0.603325,0.341561,0.551795,0.596416,0.335384,0.911093,0.910286,0.841541,0.930621,0.669097,0.544806,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run26_sparc_1429,sparc_1429,1.109739,0.990388,0.827273,0.797532,0.793270,0.662601,0.880161,0.865210,0.791492,0.893935,0.780664,0.739791,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run26_sparc_1441,sparc_1441,0.911706,1.271880,0.361208,0.730781,0.843988,0.345600,0.906972,0.913646,0.909211,0.859586,0.883476,0.656352,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run26_sparc_1505,sparc_1505,0.951078,1.096201,0.572026,0.815450,0.852600,0.500177,0.920452,0.919107,0.810142,0.897090,0.788268,0.775048,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run26_sparc_1507,sparc_1507,0.953955,1.347519,0.499314,0.790020,0.874630,0.457867,0.929493,0.923724,0.852432,0.888585,0.800019,0.569580,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run26_sparc_1510,sparc_1510,0.608979,0.947189,0.403450,0.602552,0.774340,0.382626,0.897872,0.868703,0.826053,0.911938,0.938996,0.834580,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run26_sparc_1516,sparc_1516,0.544822,0.615242,0.320763,0.532054,0.588683,0.320753,0.914677,0.913814,0.831947,0.962441,0.597305,0.605964,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run26_sparc_1520,sparc_1520,0.579225,0.662237,0.413007,0.561952,0.622858,0.412545,0.897021,0.899469,0.744562,0.912282,0.720124,0.655724,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run27_sparc_1302,sparc_1302,0.788174,0.744997,0.772362,0.787893,0.744877,0.772174,0.854047,0.859623,0.759685,0.978716,0.972326,0.886156,spectrum_fno48_floor6_smooth1_qc_peak4
run27_sparc_1306,sparc_1306,0.772071,0.743842,0.742009,0.732722,0.683652,0.707468,0.711009,0.662336,0.698177,0.940904,0.933189,0.856315,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run27_sparc_1308,sparc_1308,0.817266,0.976590,0.763824,0.693799,0.854126,0.761792,0.697844,0.620888,0.423920,0.987812,0.976813,0.902786,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run27_sparc_1310,sparc_1310,0.544972,0.674996,0.353000,0.515219,0.622602,0.348913,0.911586,0.913471,0.848694,0.958222,0.789276,0.643209,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run27_sparc_1354,sparc_1354,0.549364,0.611044,0.414994,0.543334,0.596173,0.409118,0.850343,0.845930,0.705309,0.942416,0.937884,0.845536,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run27_sparc_1358,sparc_1358,0.450129,0.578671,0.318875,0.449856,0.554887,0.309372,0.907465,0.907667,0.791711,0.916587,0.911166,0.698774,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run27_sparc_1405,sparc_1405,0.622385,0.982301,0.546471,0.579478,0.896351,0.516291,0.823707,0.369732,0.709954,0.982875,0.979022,0.898501,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run27_sparc_1408,sparc_1408,1.030623,1.046462,0.565611,0.788443,0.846260,0.527819,0.901993,0.896983,0.835967,0.927761,0.853324,0.742794,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run27_sparc_1414,sparc_1414,0.501962,0.615922,0.337974,0.501750,0.585228,0.323968,0.922755,0.926345,0.831031,0.896962,0.849771,0.627299,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run27_sparc_1416,sparc_1416,0.484472,0.633132,0.303039,0.471750,0.582336,0.299378,0.922861,0.925652,0.832642,0.935842,0.842065,0.592714,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run27_sparc_1441,sparc_1441,0.715458,0.925394,0.434810,0.683607,0.852175,0.430500,0.896161,0.869135,0.886267,0.859395,0.868561,0.782560,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
