case_idx,Converged,Target R0 [m],Target Z0 [m],Target a [m],Target kappa,Target delta,Target Ip [A],Target ffp_alpha,Target ffp_beta,Target pp_alpha,Target pp_beta,Bt [T],CS [A-turn],PF1AL [A-turn],PF1AU [A-turn],PF1BL [A-turn],PF1BU [A-turn],PF1CL [A-turn],PF1CU [A-turn],PF2L [A-turn],PF2U [A-turn],PF3L [A-turn],PF3U [A-turn],PF4L [A-turn],PF4U [A-turn],PF5L [A-turn],PF5U [A-turn],type,R,Z,error,mdsplus_path,value
9327,True,0.9482244884859552,-0.0170670971758913,0.4556495434507384,2.767071217434901,0.2024723944320426,687255.9821604427,,,,,1.0,22400.0,11447.984061651046,12990.567312424791,-9200.0,-9200.0,-6299.999999999999,-6299.999999999999,3213.1931520855405,1442.376344041553,755.6740806404687,1334.5079096758927,1500.0,1500.0,-9656.566495035431,-9633.453705183569,flux_loop,0.3148,1.0428488876128712,,,0.1094234065875665
9328,True,0.8583869635207767,0.0282560598504609,0.4707912557547157,3.1218320868735208,-0.0692311298262974,513430.1225727564,,,,,1.0,-22400.0,392.8053789652329,467.639624882369,-4027.925239207012,-3056.0695451943893,7100.0,3743.552597881933,-684.049315310966,385.0398892137687,566.2644167077924,326.1522731677838,1500.0,1500.0,-7111.068837000448,-7316.357777111182,flux_loop,0.3148,1.0428488876128712,,,-0.0068183527926548
9329,True,0.8882374790883469,0.015309645613541,0.4816090650299952,2.710894082037388,0.4086413826154412,561305.9392370654,,,,,1.0,22400.0,8471.321825844727,7745.79051935175,-9200.0,-9200.0,-6299.999999999999,-6299.999999999999,5124.142290813541,6242.615277069674,-426.3395070988895,-884.9233246528963,1500.0,1500.0,-7945.21139761703,-7889.021629690739,flux_loop,0.3148,1.0428488876128712,,,0.08352618713273
9330,True,0.8524606069256999,-0.0478034866525204,0.4862148133849764,1.9991003075547356,0.5171836379123912,594941.8606838777,,,,,1.0,22400.0,16800.0,16800.0,-7391.738663511653,9200.0,-6299.999999999999,-3080.0618118809425,-1500.0,-1500.0,-2215.2610238389843,-6512.000838000352,-4843.797491103949,1500.0,-3682.589744472824,-7765.258382124397,flux_loop,0.3148,1.0428488876128712,,,0.112588472250251
9331,True,0.890628794338951,0.0393617371797947,0.4669751192261373,1.5078039088860682,-0.4944849163434859,841664.6394658047,,,,,1.0,22400.0,-1500.0,-1500.0,-9200.0,-9200.0,-6299.999999999999,-6299.999999999999,-1500.0,-1500.0,3689.303162452422,3919.5671826666726,1500.0,1500.0,-10976.112512780022,-12130.683691778264,flux_loop,0.3148,1.0428488876128712,,,0.0497159491909043
9332,True,0.924090254623438,0.0097754637906398,0.5269361708474019,2.5857833759625724,0.2353860099420232,737105.3185266717,,,,,1.0,22400.0,4771.029498397772,4483.772717377246,-9200.0,-9200.0,108.37005423354842,702.2187411092481,4058.689538099891,3963.670573955676,-1268.772883705054,-1343.1449351994156,1500.0,1500.0,-8461.65623306699,-8494.652819623414,flux_loop,0.3148,1.0428488876128712,,,0.0866405947001501
9333,True,0.8920547984435327,-0.0212964331587553,0.4953494260886924,2.325046697737028,0.5249365916035403,614133.3274418515,,,,,1.0,22400.0,12997.940511920358,15145.53107692952,-9200.0,-9200.0,-6299.999999999999,-6299.999999999999,646.7034058704853,-1500.0,-194.68702836610768,268.22893800168947,-1869.9157459528617,-1037.2060240368014,-6594.954540357431,-7393.883026386114,flux_loop,0.3148,1.0428488876128712,,,0.0995698167500132
9334,True,0.8809874764910198,0.0449992272038032,0.5013566393524377,2.0015926711179413,0.3626943556020805,909761.5468380796,,,,,1.0,22400.0,16800.0,16800.0,9200.0,-4192.040619123478,-6299.999999999999,-6299.999999999999,-1500.0,-341.84484888103134,-4782.9496732563475,-3833.051623986879,1500.0,1500.0,-11098.677072253313,-11397.178328452896,flux_loop,0.3148,1.0428488876128712,,,0.1213342121194023
9335,True,0.9011540690687962,-0.0401435129806231,0.5408877630800603,2.9473268201806357,-0.0174200700952348,946069.0587074172,,,,,1.0,22400.0,2825.0653682216653,2842.905086299598,-6961.131855731315,-4274.667827142324,7100.0,7100.0,-37.008733417207026,-1500.0,1617.2728174372087,2266.4627929855424,1500.0,1500.0,-12999.387658924314,-12312.784296990532,flux_loop,0.3148,1.0428488876128712,,,0.0920366054931914
9336,True,0.8693426632307842,-0.0471106164227638,0.4905030427833555,2.2452779385612356,-0.3392174171744517,1064600.532369949,,,,,1.0,-22400.0,-1500.0,-1500.0,-9200.0,-9200.0,-6299.999999999999,-6299.999999999999,2763.1306200034796,2630.222175953937,7727.915511432972,8672.084488567029,1500.0,1500.0,-18400.0,-17464.89985384372,flux_loop,0.3148,1.0428488876128712,,,-0.0065874371843107
9337,True,0.9088384632884734,0.0277386964244318,0.4827556429654021,2.958028134724608,0.5423437457130048,1168580.8110770606,,,,,1.0,22400.0,12753.977173999983,11033.9584610851,-9200.0,-9200.0,-6299.999999999999,-6299.999999999999,6220.6601946692845,8664.436071877839,-131.89162741083857,-1613.2241756133624,1500.0,1500.0,-15441.90804021131,-15169.097539672872,flux_loop,0.3148,1.0428488876128712,,,0.1288066402787405
9338,True,0.8916689502837651,0.0124673946978005,0.4558988668532244,1.8837253244148215,0.0139652325390176,658490.6057182525,,,,,1.0,22400.0,1017.8875091861746,1719.263721779455,-9200.0,-9200.0,-6299.999999999999,-6299.999999999999,-1500.0,-1500.0,3398.60839013714,3055.5556586733965,1500.0,1500.0,-9760.84699890345,-9738.581693297812,flux_loop,0.3148,1.0428488876128712,,,0.0503888598355909
9339,True,0.9111927047347964,-0.0196969945654005,0.4662883948619953,1.915732547592888,-0.5709608769534996,836159.9547026035,,,,,1.0,-22400.0,-1500.0,-1500.0,-3160.502259064833,7693.532761585489,7100.0,7100.0,11200.0,11200.0,9460.623612505087,6939.3763874949145,1500.0,1500.0,-18294.252947302943,-16847.447861193177,flux_loop,0.3148,1.0428488876128712,,,0.0346494262174988
9340,True,0.9380018543093864,0.001717734047873,0.4867768820922549,2.8646164219945724,-0.0420983433368256,1084890.538915053,,,,,1.0,22400.0,5293.13390815595,5111.8308874756185,8118.193716780993,8757.269432594861,-6299.999999999999,-6299.999999999999,-1500.0,-1500.0,3300.275398281624,3245.077671848114,1500.0,1500.0,-14890.325432938256,-14903.73996675432,flux_loop,0.3148,1.0428488876128712,,,0.114973600893066
9341,True,0.8874763653702581,-0.0423250226160467,0.4664826946443794,2.61866111238532,0.1362350698041277,1047123.6783524055,,,,,1.0,22400.0,3566.457674325412,8697.825684537274,9200.0,-168.12651990488564,-3893.42248283224,-6299.999999999999,-1500.0,-1500.0,627.555488713933,1861.137683800235,1500.0,1500.0,-13689.173200331628,-13543.147728808004,flux_loop,0.3148,1.0428488876128712,,,0.1111150959349295
9342,True,0.8765974486671805,-0.0182520689568219,0.4662735013340687,1.827653709979632,-0.3421972156647497,977823.0786703306,,,,,1.0,22400.0,-1500.0,-1500.0,-9200.0,-9200.0,-6299.999999999999,-6299.999999999999,-1500.0,-1500.0,4810.652899201685,4890.543142660592,1500.0,1500.0,-13923.494592099603,-13476.585299147942,flux_loop,0.3148,1.0428488876128712,,,0.0531968192630291
9343,True,0.8987154154643406,0.0153178529285158,0.4856200512525496,2.124431073108727,-0.3104536644840424,869220.8717355567,,,,,1.0,-22400.0,-1500.0,-1500.0,-9200.0,-9200.0,-6299.999999999999,-6299.999999999999,-1016.0949907782332,-1054.4854665854357,8245.274763041492,8154.7252369585085,1500.0,1500.0,-14698.705402626732,-15086.31143861914,flux_loop,0.3148,1.0428488876128712,,,-0.0165772571232915
9344,True,0.9049291233926212,-0.0292108319806578,0.485659524844825,2.535718241605597,0.0600649191708586,897338.6603229791,,,,,1.0,22400.0,-1500.0,-1081.6066829734737,7749.021800742819,9200.0,1187.5707601178508,-1377.115464596695,-1500.0,-1500.0,-234.25433308340823,170.4497378047977,1500.0,1500.0,-10562.683067098738,-10406.597785041786,flux_loop,0.3148,1.0428488876128712,,,0.0808823072000419
9345,True,0.8690145584527569,0.0408113983865018,0.5298512710444456,1.9837092343650236,0.3548350477145211,544680.5569752228,,,,,1.0,22400.0,10975.1878863182,7776.903276984368,-9200.0,-9200.0,-6299.999999999999,-6299.999999999999,2180.452026173088,6235.049744742301,-2356.5854674296306,-3276.072807317379,1397.0126496558992,956.100891822544,-6797.346278454934,-6259.031364206731,flux_loop,0.3148,1.0428488876128712,,,0.0761338386424139
9346,True,0.9069699001809558,0.0094460612407987,0.5495894599784141,3.117477402375197,0.3297060382822875,904400.797582724,,,,,1.0,-22400.0,2849.530932536002,2661.669779551831,-2350.69546684542,-1945.6479715191736,913.0808609975228,804.7494103832,1348.3871012668403,1258.457020182845,-794.0161683387219,-841.4766266769998,1500.0,1500.0,-10315.444419760772,-10402.814208899978,flux_loop,0.3148,1.0428488876128712,,,0.0217205662056317
